148;1183.7838134765;2189;2189;88D
149;1174.4967041015;2204;2204;89C
150;1165.3333740234;2220;2220;8AC
151;1156.2913818359;2235;2235;8BB
152;1147.3684082031;2250;2250;8CA
153;1138.5621337890;2266;2266;8DA
154;1129.8701171875;2281;2281;8E9
155;1121.2902832031;2296;2296;8F8
156;1112.8205566406;2311;2311;907
157;1104.4586181640;2326;2326;916
158;1096.2025146484;2341;2341;925
159;1088.0502929687;2356;2356;934
160;1080.0000000000;2370;2370;942
161;1072.0496826171;2385;2385;951
162;1064.1975097656;2400;2400;960
163;1056.4416503906;2414;2414;96E
164;1048.7803955078;2429;2429;97D
165;1041.2120361328;2443;2443;98B
166;1033.7348632812;2458;2458;99A
167;1026.3474121093;2472;2472;9A8
168;1019.0476684570;2486;2486;9B6
169;1011.8343505859;2500;2500;9C4
170;1004.7059326171;2514;2514;9D2
171;997.6608276367;2529;2529;9E1
172;990.6976928710;2543;2543;9EF
173;983.8150024414;2557;2557;9FD
174;977.0114746093;2571;2571;A0B
175;970.2857055664;2584;2584;A18
176;963.6364135742;2598;2598;A26
177;957.0621337890;2612;2612;A34
178;950.5618286132;2626;2626;A42
179;944.1340332031;2640;2640;A50
180;937.7778320312;2653;2653;A5D
181;931.4917602539;2667;2667;A6B
182;925.2747802734;2680;2680;A78
183;919.1256713867;2694;2694;A86
184;913.0435180664;2707;2707;A93
185;907.0270385742;2721;2721;AA1
186;901.0752563476;2734;2734;AAE
187;895.1871948242;2747;2747;ABB
188;889.3616943359;2761;2761;AC9
189;883.5978393554;2774;2774;AD6
190;877.8947753906;2787;2787;AE3
191;872.2513427734;2800;2800;AF0
192;866.6666870117;2813;2813;AFD
193;861.1398925781;2826;2826;B0A
194;855.6700439453;2839;2839;B17
195;850.2564697265;2852;2852;B24
196;844.8979492187;2865;2865;B31
197;839.5938720703;2878;2878;B3E
198;834.3434448242;2891;2891;B4B
199;829.1456909179;2904;2904;B58
200;824.0000000000;2916;2916;B64
201;818.9054565429;2929;2929;B71
202;813.8613891601;2942;2942;B7E
203;808.8670043945;2954;2954;B8A
204;803.9216308593;2967;2967;B97
205;799.0244140625;2979;2979;BA3
206;794.1747436523;2992;2992;BB0
207;789.3719482421;3004;3004;BBC
208;784.6154174804;3017;3017;BC9
209;779.9042968750;3029;3029;BD5
210;775.2381591796;3042;3042;BE2
211;770.6161499023;3054;3054;BEE
212;766.0377197265;3066;3066;BFA
213;761.5023803710;3079;3079;C07
214;757.0093383789;3091;3091;C13
215;752.5581054687;3103;3103;C1F
216;748.1481323242;3115;3115;C2B
217;743.7788085937;3127;3127;C37
218;739.4495239257;3139;3139;C43
219;735.1597900390;3152;3152;C50
220;730.9090576171;3164;3164;C5C
221;726.6968994140;3176;3176;C68
222;722.5225219726;3188;3188;C74
223;718.3856811523;3200;3200;C80
224;714.2857666015;3211;3211;C8B
225;710.2222290039;3223;3223;C97
226;706.1947021484;3235;3235;CA3
227;702.2026367187;3247;3247;CAF
228;698.2456054687;3259;3259;CBB
229;694.3231811523;3271;3271;CC7
230;690.4347534179;3282;3282;CD2
231;686.5800781250;3294;3294;CDE
